Year,Lectionary Number,Sunday or Feast,First Reading,Responsorial Psalm,Second Reading,Alleluia,Gospel
B,614,The Transfiguration of the Lord,"Dan 7:9-10, 13-14","Ps 97:1-2, 5-6, 9",2 Peter 1:16-19,,Mark 9:2-10
C,614,The Transfiguration of the Lord,"Dan 7:9-10, 13-14","Ps 97:1-2, 5-6, 9",2 Peter 1:16-19,,Luke 9:28b-36
,621,The Assumption of the Blessed Virgin Mary: Vigil,"1 Chr 15:3-4, 15-16; 16:1-2","Ps 132:6-7, 9-10, 13-14",1 Cor 15:54b-57 (diff),,Luke 11:27-28
,622,The Assumption of the Blessed Virgin Mary: Day,Rev 11:19a," Ps 45:10, 11, 12, 16, 12:1-6a, 10ab",1 Cor 15:20-27,,Luke 1:39-56
,638,The Exaltation of the Cross,Num 21:4b-9,"Ps 78:1-2, 34-35, 36-37, 38",Phil 2:6-11,,John 3:13-17
,667,All Saints,"Rev 7:2-4, 9-14","Ps 24:1-2, 3-4, 5-6",1 John 3:1-3,,Matt 5:1-12a
,668,The Commemoration of All the Faithful Departed (All Souls),Wis 3:1-9 or Wis 4:7-15or Isa 25:6-9,"Ps 23:1-3a, 3b-4, 5, 6 or Ps 25:6+7b, 17-18, 20-21or Ps 27:1, 4, 7+8b+9a, 13-14","Rom 5:5-11
 or Rom 5:17-21
 or Rom 6:3-9
 or Rom 8:14-23
 or Rom 8:31b-35, 37-39
 or Rom 14:7-9, 10c-12
 or 1 Cor 15:20-28
 or 1 Cor 15:51-57
 or 2 Cor 4:14-5:1
 or 2 Cor 5:1, 6-10
 or Phil 3:20-21
 or 1 Thess 4:13-18
 or 2 Tim 2:8-13",,"Matt 5:1-12a
 or Matt 11:25-30
 or Matt 25:31-46
 or Luke 7:11-17
 or Luke 23:44-46, 50, 52-53; 24:1-6a
 or Luke 24:13-16, 28-35
 or John 5:24-29
 or John 6:37-40
 or John 6:51-59
 or John 11:17-27
 or John 11:32-45
 or John 14:1-6"
,671,The Dedication of the Lateran Basilica,"Ezek 47:1-2, 8-9, 12","Ps 46:2-3, 5-6, 8-9","1 Cor 3:9c-11, 16-17",,John 2:13-22
,689,The Immaculate Conception of the Blessed Virgin Mary,"Gen 3:9-15, 20","Ps 98:1, 2-3, 3-4","Eph 1:3-6, 11-12",,Luke 1:26-38
,13,"The Nativity of the Lord (Solemnity, Christmas)",Isa 62:1-5,"Ps 89:4-5, 16-17, 27+29","Acts 13:16-17, 22-25",,"Matt 1:1-25
 or 1:18-25"
,14,Christmas: Mass during the Night,Isa 9:1-6,"Ps 96:1-2a, 2b-3, 11-12, 13",Titus 2:11-14,Luke 2:10-11,Luke 2:1-14
,15,Christmas: Mass at Dawn,Isa 62:11-12,"Ps 97:1+6, 11-12",Titus 3:4-7,Luke 2:14,Luke 2:15-20
,16,Christmas: Mass during the Day,Isa 52:7-10,"Ps 98:1, 2-3a, 3b-4, 5-6",Heb 1:1-6,,"John 1:1-18
 or 1:1-5, 9-14"
,17,"The Holy Family of Jesus, Mary, and Joseph – Vigil","Sir 3:3-7, 14-17a","Ps 128:1-2, 3, 4-5",Col 3:12-21 or 3:12-17,Col 3:15a+16a,"Matt 2:13-15, 19-23"
A,17,"The Holy Family of Jesus, Mary, and Joseph","Sir 3:2-6, 12-14","Ps 128:1-2, 3, 4-5",Col 3:12-21 or 3:12-17,Col 3:15a+16a,"Matt 2:13-15, 19-23"
B,17,"The Holy Family of Jesus, Mary, and Joseph",Gen 15:1-6; 21:1-3,"Ps 105:1-2, 3-4, 5-6, 8-9","Heb 11:8, 11-12, 17-19",Heb 1:1-2,"Luke 2:22-40 
 or 2:22, 39-40"
C,17,"The Holy Family of Jesus, Mary, and Joseph","1 Sam 1:20-22, 24-28","Ps 84:2-3, 5-6, 9-10","1 John 3:1-2, 21-24",Acts 16:14b,Luke 2:41-52
,18,"Solemnity of the Blessed Virgin Mary, the Mother of God",Num 6:22-27,"Ps 67:2-3, 5, 6+8",Gal 4:4-7,Heb 1:1-2,Luke 2:16-21
,19,Second Sunday after Christmas,"Sir 24:1-4, 12-16","Ps 147:12-13, 14-15, 19-20","Eph 1:3-6, 15-18",1 Tim 3:16,"John 1:1-18 
 or 1:1-5, 9-14"
,20,The Epiphany of the Lord,Isa 60:1-6,"Ps 72:1-2, 7-8, 10-11, 12-13","Eph 3:2-3a, 5-6",Matt 2:2,Matt 2:1-12
A,21,The Baptism of the Lord,"Isa 42:1-4, 6-7","Ps 29:1-2, 3ac+4, 3b+9b-10",Acts 10:34-38,Mark 9:7,Matt 3:13-17
B,21,The Baptism of the Lord,Isa 55:1-11,"Isa 12:2-3, 4bcd, 5-6",1 John 5:1-9,John 1:29,Mark 1:7-11
C,21,The Baptism of the Lord,"Isa 40:1-5, 9-11","Ps 104:1b-2, 3-4, 24-25, 27-28, 29b-30",Titus 2:11-14; 3:4-7,Luke 3:16,"Luke 3:15-16, 21-22"
,39,Holy Thursday,"Exod 12:1-8, 11-14","Ps 116:12-13, 15-16, 17-18",1 Cor 11:23-26,John 13:34,John 13:1-15
,40,Good Friday,Isa 52:13—53:12,"Ps 31:2+6, 12-13, 15-16, 17+25",Heb 4:14-16; 5:7-9,Phil 2:8-9,John 18:1—19:42
A,41,Easter Vigil," 1) Gen 1:1—2:2 or 1, 26-31a
 2) Gen 22:1-18 or 1-2, 9a, 10-13, 15-18
 3) Exod 14:15—15:1
 4) Isa 54:5-14
 5) Isa 55:1-11
 6) Bar 3:9-15, 32-4:4
 7) Ezek 36:16-17a, 18-28","1) Ps 104:1-2, 5-6, 10+12, 13-14, 24+35 
 or Ps 33:4-5, 6-7, 12-13, 20-22 
 2) Ps 16:5+8, 9-10, 11
 3) Exod 15:1-2, 3-4, 5-6, 17-18
 4) Ps 30:2+4, 5-6, 11-12a+13b
 5) Isa 12:2-3, 4bcd, 5-6
 6) Ps 19:8, 9, 10, 11
 7) Ps 42:3, 5; 43:3, 4
 or Ps 51:12-13, 14-15, 18-19","Rom 6:3-11 Response after the Epistle:
 Psalm 118:1-2, 16-17, 22-23",,Matt 28:1-10
B,41,Easter Vigil," 1) Gen 1:1—2:2 or 1, 26-31a
 2) Gen 22:1-18 or 1-2, 9a, 10-13, 15-18
 3) Exod 14:15—15:1
 4) Isa 54:5-14
 5) Isa 55:1-11
 6) Bar 3:9-15, 32-4:4
 7) Ezek 36:16-17a, 18-28","1) Ps 104:1-2, 5-6, 10+12, 13-14, 24+35 
 or Ps 33:4-5, 6-7, 12-13, 20-22 
 2) Ps 16:5+8, 9-10, 11
 3) Exod 15:1-2, 3-4, 5-6, 17-18
 4) Ps 30:2+4, 5-6, 11-12a+13b
 5) Isa 12:2-3, 4bcd, 5-6
 6) Ps 19:8, 9, 10, 11
 7) Ps 42:3, 5; 43:3, 4
 or Ps 51:12-13, 14-15, 18-19","Rom 6:3-11 Response after the Epistle:
 Psalm 118:1-2, 16-17, 22-23",,Mark 16:1-7
C,41,Easter Vigil," 1) Gen 1:1—2:2 or 1, 26-31a
 2) Gen 22:1-18 or 1-2, 9a, 10-13, 15-18
 3) Exod 14:15—15:1
 4) Isa 54:5-14
 5) Isa 55:1-11
 6) Bar 3:9-15, 32-4:4
 7) Ezek 36:16-17a, 18-28","1) Ps 104:1-2, 5-6, 10+12, 13-14, 24+35 
 or Ps 33:4-5, 6-7, 12-13, 20-22 
 2) Ps 16:5+8, 9-10, 11
 3) Exod 15:1-2, 3-4, 5-6, 17-18
 4) Ps 30:2+4, 5-6, 11-12a+13b
 5) Isa 12:2-3, 4bcd, 5-6
 6) Ps 19:8, 9, 10, 11
 7) Ps 42:3, 5; 43:3, 4
 or Ps 51:12-13, 14-15, 18-19","Rom 6:3-11 Response after the Epistle:
 Psalm 118:1-2, 16-17, 22-23",,Luke 24:1-12
,42,Easter Sunday,"Acts 10:34a, 37-43","Ps 118:1-2, 16-17, 22-23","Col 3:1-4
 or 1 Cor 5:6b-8",1 Cor 5:7b-8a,"John 20:1-9
 or Luke 24:13-35"
A,43,2nd Sunday of Easter,Acts 2:42-47,"Ps 118:2-4, 13-15, 22-24",1 Pet 1:3-9,John 20:29,John 20:19-31
A,46,3rd Sunday of Easter,"Acts 2:14, 22-33 (diff)","Ps 16:1-2a+5, 7-8, 9-10, 11",1 Pet 1:17-21,Luke 24:32,Luke 24:13-35
A,49,4th Sunday of Easter,"Acts 2:14a, 36-41","Ps 23:1-3a, 3b-4, 5, 6",1 Pet 2:20b-25,John 10:14,John 10:1-10
A,52,5th Sunday of Easter,Acts 6:1-7,"Ps 33:1-2, 4-5, 18-19",1 Pet 2:4-9,John 14:6,John 14:1-12
A,55,6th Sunday of Easter,"Acts 8:5-8, 14-17","Ps 66:1-3, 4-5, 6-7, 16+20",1 Pet 3:15-18,John 14:23,John 14:15-21
A,58,Ascension of the Lord,Acts 1:1-11,"Ps 47:2-3, 6-7, 8-9",Eph 1:17-23,Matt 28:19a+20b,Matt 28:16-20
A,59,7th Sunday of Easter,Acts 1:12-14,"Ps 27:1, 4, 7-8",1 Pet 4:13-16,John 14:18,John 17:1-11a
B,44,2nd Sunday of Easter,Acts 4:32-35,"Ps 118:2-4, 13-15, 22-24",1 John 5:1-6,John 20:29,John 20:19-31
B,47,3rd Sunday of Easter,"Acts 3:13-15, 17-19","Ps 4:2, 4, 7-8, 9",1 John 2:1-5a,Luke 24:32,Luke 24:35-48
